date,name,source1,source2,type,support/not support,bright future?,fact/opinion,Mongolian?,reliabilty,english?,
2018/03/04,zolbo,annewestwards.com,x,comment,s,n,opinion,yes,3,yes,
2017/07/25,bat,annewestwards.com,x,comment,s,n,opinion,yes,4,yes,
2018/3/5,nomin,annewestwards.com,x,comment,s,n,fact,yes,5,yes,
2018/3/5,justin,annewestwards.com,x,comment,s,n,fact,yes,5,yes,
2018/3/5,degi,facebook,resortsmongolia,comment,s,n,opinion,yes,0,no,
2018/3/5,dugersuren,facebook,resortsmongolia,comment,s,n,opinion,yes,2,no,
2018/3/5,-,facebook,resortsmongolia,comment,s,n,opinion,yes,1,no,
2018/3/5,sergelen,facebook,resortsmongolia,comment,s,n,opinion,yes,1,no,
2018/3/5,uyanga tsoggerel,facebook,annewestwards.com,share,s,n,opinion,yes,3,no,
2018/3/5,gerel,facebook,uyanga tsoggerel,comment,s,n,opinion,yes,2,no,
2018/3/5,odonchimeg,facebook,dmnn,share,s,n,fact,yes,4,no,
2018/3/5,dalai,facebook,dmnn,share,s,n,opinion,yes,1,no,
2018/3/4,lkhagva,annewestwards.com,x,comment,n,r,fact,yes,4,yes,
2018/3/4,mandal,annewestwards.com,x,comment,n,x,opinion,yes,3,yes,
2018/3/5,swete,facebook,resortsmongolia,comment,n,x,opinion,yes,0,no,
2018/3/5,saruulsaihan,facebook,resortsmongolia,comment,n,x,opinion,yes,1,no,
2018/3/5,joe,facebook,resortsmongolia,comment,n,x,opinion,yes,0,no,
2018/3/5,nasaa,facebook,resortsmongolia,comment,n,x,opinion,yes,1,no,
2018/3/5,ganbold,facebook,resortsmongolia,comment,n,x,opinion,yes,1,no,
2018/3/5,loli,facebook,resortsmongolia,comment,n,x,opinion,yes,1,no,
2018/3/5,nanza,facebook,resortsmongolia,comment,n,x,opinion,yes,0,no,
2018/3/5,romboo,facebook,resortsmongolia,comment,n,x,opinion,yes,0,no,
2018/3/5,ganbaatar,facebook,resortsmongolia,comment,n,x,opinion,yes,0,no,
2018/3/5,amaraa,facebook,resortsmongolia,comment,n,x,opinion,yes,0,no,
2018/3/5,amara,facebook,resortsmongolia,comment,n,x,opinion,yes,0,no,
2018/3/5,tuul,facebook,uyanga tsoggerel,comment,n,x,opinion,yes,0,no,
2018/3/5,lkhagvasuren,facebook,uyanga tsoggerel,comment,n,x,opinion,yes,2,no,
2018/3/5,tsoros,facebook,uyanga tsoggerel,comment,n,x,opinion,yes,1,no,
2018/3/5,mashbat,facebook,dmnn,comment,n,x,opinion,yes,2,no,
2018/3/5,bayza,facebook,dmnn,comment,n,x,opinion,yes,1,no,
2018/3/5,oyuna,facebook,dmnn,comment,n,x,opinion,yes,1,no,
2018/3/5,amarsanaa,facebook,dmnn,comment,n,x,opinion,yes,2,no,
2018/3/5,urana,facebook,mongol baharhal,share,n,x,opinion,yes,2,no,
2018/3/5,zochin,updown.mn,,comment,n,x,opinion,yes,2,no,
2018/3/5,batnyam,facebook,dorgio,comment,n,x,opinion,yes,2,no,
2018/3/5,nandin,facebook,dorgio,comment,n,x,opinion,yes,1,no,
2018/3/5,thumbsup,facebook,dorgio,comment,n,x,opinion,yes,3,no,
2018/3/5,tsatsralt,facebook,dorgio,comment,n,x,opinion,yes,1,no,
2018/3/5,hashmunkh,facebook,dorgio,comment,n,x,opinion,yes,3,no,
2018/3/5,narmandakh,facebook,mongol baharhal,share,n,x,opinion,yes,1,no,
2018/3/5,dagima,facebook,narmandakh,comment,n,x,fact,yes,1,no,
2018/3/5,ankhbayar,facebook,enkhtsetseg,comment,n,x,opinion,yes,2,no,
2016/10/7,callie,annewestwards.com,x,comment,s,x,fact,no,3,yes,
2018/3/5,temujin,annewestwards.com,x,comment,s,x,opinion,yes,3,yes,
2018/3/5,tsetseg,annewestwards.com,x,comment,s,x,opinion,yes,2,yes,
2018/3/5,munkhtsetseg,facebook,resortsmongolia,post,s,x,opinion,yes,1,yes,
2018/3/5,amar,facebook,resortsmongolia,comment,s,x,opinion,yes,0,no,
2018/3/5,odnyam,facebook,resortsmongolia,comment,s,x,fact,yes,4,no,
2018/3/5,amar,facebook,resortsmongolia,comment,s,x,fact,yes,2,no,
2018/3/5,zoloo,facebook,resortsmongolia,comment,s,x,fact,yes,3,no,
2018/3/5,amardush,facebook,resortsmongolia,comment,s,x,opinion,yes,0,no,
2018/3/5,tuya,facebook,resortsmongolia,comment,s,x,opinion,yes,1,no,
2018/3/5,avaa,facebook,resortsmongolia,comment,s,x,opinion,yes,1,no,
2018/3/5,tsvetok,facebook,resortsmongolia,comment,s,x,fact,yes,2,no,
2018/3/5,turbold,facebook,resortsmongolia,comment,s,x,opinion,yes,0,no,
2018/3/5,tumur,facebook,resortsmongolia,comment,s,x,opinion,yes,0,no,
2018/3/5,azita,facebook,timeline,post,s,x,opinion,yes,3,yes,
2018/3/5,badaam,facebook,resortsmongolia,share,s,x,opinion,yes,2,no,
2018/3/5,beezzy,facebook,khishigzul,comment,s,x,opinion,yes,0,no,
2018/3/5,bishrel,facebook,khishigzul,comment,s,x,opinion,yes,0,no,
2018/3/5,selmo,facebook,resortsmongolia,share,s,x,opinion,yes,2,no,
2018/3/5,tserensuren,facebook,dmnn,comment,s,x,fact,yes,3,no,
2018/3/5,gansukh,facebook,dmnn,comment,s,x,opinion,yes,2,no,
2018/3/5,tuya,facebook,timeline,gantuya,s,x,opinion,yes,0,no,
2018/3/5,nomin-erdene,facebook,dmnn,share,s,x,opinion,yes,2,no,
2018/3/5,sainabayar,facebook,dmnn,share,s,x,fact,yes,2,no,
2018/3/5,gantuya,facebook,dmnn,share,s,x,opinion,yes,3,no,
2018/3/5,enkhtuvshin,facebook,dmnn,share,s,x,opinion,yes,2,no,
2018/3/5,shaabar,updown.mn,,comment,s,x,opinion,yes,3,no,
2018/3/5,zochin,updown.mn,,comment,s,x,opinion,yes,1,no,
2018/3/5,zochin,updown.mn,,comment,s,x,opinion,yes,1,no,
2018/3/5,mgl,updown.mn,,comment,s,x,opinion,yes,2,no,
2018/3/5,emegtei,updown.mn,,comment,s,x,fact,yes,2,no,
2018/3/5,zochin,updown.mn,,comment,s,x,opinion,yes,2,no,
2018/3/5,ganbaatar,updown.mn,,comment,s,x,opinion,yes,1,no,
2018/3/5,ugluunii od ,facebook,dorgio,comment,s,x,fact,yes,2,no,
2018/3/5,bayaraa,facebook,dorgio,comment,s,x,opinion,yes,2,no,
2018/3/5,battsengel,facebook,dorgio,comment,s,x,opinion,yes,2,no,
2018/3/5,dede,facebook,dorgio,comment,s,x,opinion,yes,1,no,
2018/3/5,enkhbol,facebook,dorgio,comment,s,x,opinion,yes,3,no,
2018/3/5,zolzaya,facebook,dorgio,comment,s,x,opinion,yes,1,no,
2018/3/5,erdenejargal,facebook,dorgio,comment,s,x,opinion,yes,1,no,
2018/3/5,davaa,facebook,dorgio,comment,s,x,opinion,yes,1,no,
2018/3/5,enkhtsetseg,facebook,mongol baharhal,share,s,x,opinion,yes,1,no,
2018/3/5,solongo,facebook,enkhtsetseg,comment,s,x,opinion,yes,1,no,
2018/3/5,amarbayar,facebook,enkhtsetseg,comment,s,x,opinion,yes,1,no,
2018/3/5,suvd,facebook,enkhtsetseg,comment,s,x,opinion,yes,2,no,
2018/3/5,shuudertsetseg,facebook,enkhtsetseg,comment,s,x,opinion,yes,2,no,
2018/3/5,mongol busgui,facebook,galt boroo ah,comment,s,x,opinion,yes,2,no,
2018/3/6,sara,facebook,dmnn,share,s,x,opinion,yes,1,no,
2018/3/6,sarantuya,facebook,dmnn,share,s,x,opinion,yes,1,no,
2018/3/6,hulan,facebook,dmnn,share,s,x,opinion,yes,1,no,
2018/3/3,dashdulam,annewestwards.com,x,comment,n,y,fact,yes,5,yes,
2018/3/4,ganzorig,annewestwards.com,x,comment,n,y,opinion,yes,1,yes,
2018/3/5,tsogt,facebook,resortsmongolia,comment,n,y,opinion,yes,1,no,
2018/3/5,ogi,facebook,resortsmongolia,share,n,y,opinion,yes,2,no,
2018/3/5,khishigzul,facebook,resortsmongolia,share,n,y,fact,yes,3,no,
2018/03/04,uyanga atarsaikhan,annewestwards.com,x,comment,s,y,opinion,yes,5,yes,
2018/3/3,ewan,annewestwards.com,x,comment,s,y,opinion,yes,3,yes,
2018/3/4,sun,annewestwards.com,x,comment,s,y,fact,yes,5,yes,
2018/3/4,sainaa,annewestwards.com,x,comment,s,y,opinion,no,5,yes,
2018/3/4,phil,annewestwards.com,x,comment,s,y,fact,no,5,yes,
2018/3/4,sean,annewestwards.com,x,comment,s,y,opinion,yes,3,yes,
2018/3/4,tengis,annewestwards.com,x,comment,s,y,opinion,yes,4,yes,
2018/3/5,tess byambador,annewestwards.com,x,comment,s,y,opinion,yes,4,yes,
2018/3/5,manlai,annewestwards.com,x,comment,s,y,opinion,yes,3,yes,
2018/3/5,ayush,facebook,uyanga tsoggerel,comment,s,y,opinion,yes,0,no,
2018/3/5,tserenjamts,facebook,uyanga tsoggerel,comment,x,y,opinion,yes,2,no,
2018/3/5,ganchuluun,facebook,uyanga tsoggerel,comment,x,y,opinion,yes,2,no,